Tue Mar 10 00:33:51 2026    /home/runner/work/_temp/fc_phase1_packet_linux/python_vec16_steady.prof

         178079 function calls (175007 primitive calls) in 0.225 seconds

   Ordered by: cumulative time
   List reduced from 114 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       64    0.002    0.000    0.228    0.004 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/envs/vector_env.py:120(send)
       64    0.003    0.000    0.176    0.003 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/bridge/batch_client.py:200(step_batch)
       64    0.010    0.000    0.084    0.001 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/bridge/batch_client.py:260(_collect_step_results)
     1024    0.013    0.000    0.043    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/bridge/debug_client.py:471(pythonize_action_result)
     1024    0.002    0.000    0.036    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/bridge/debug_client.py:132(observe_flat)
2048/1024    0.023    0.000    0.030    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/bridge/debug_client.py:442(_pythonize)
     1024    0.027    0.000    0.027    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/bridge/debug_client.py:199(observe_flat_jvm)
       64    0.025    0.000    0.025    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/bridge/debug_client.py:175(tick)
       64    0.001    0.000    0.023    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/envs/vector_env.py:143(<listcomp>)
     1024    0.001    0.000    0.022    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/envs/vector_env.py:228(_decode_joint_action)
     1024    0.003    0.000    0.020    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/envs/puffer_encoding.py:235(decode_action_from_policy)
       64    0.002    0.000    0.017    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/envs/vector_env.py:214(_apply_step_response)
     3072    0.006    0.000    0.016    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/envs/action_mapping.py:36(normalize_action)
       64    0.001    0.000    0.015    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/bridge/buffers.py:84(build_step_buffers)
     5120    0.005    0.000    0.014    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/envs/observation_views.py:78(observation_wave)
20544/18496    0.006    0.000    0.014    0.000 {built-in method builtins.isinstance}
     1024    0.008    0.000    0.013    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/bridge/debug_client.py:187(apply_action_jvm)
    11264    0.003    0.000    0.013    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/envs/observation_views.py:328(_is_raw_mapping)
     1024    0.008    0.000    0.012    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/envs/observation_views.py:112(observation_visible_targets)
     1024    0.002    0.000    0.012    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/envs/correctness_env.py:138(infer_terminal_state)
    13312    0.008    0.000    0.011    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/envs/observation_views.py:34(coerce_flat_observation_row)
     1024    0.003    0.000    0.009    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/envs/vector_env.py:242(_build_step_info)
     1024    0.001    0.000    0.008    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/rewards/reward_sparse_v0.py:20(reward_fn)
     1024    0.004    0.000    0.007    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/bridge/debug_client.py:489(flat_observation_to_numpy)
    17280    0.007    0.000    0.007    0.000 {built-in method numpy.asarray}
     1024    0.001    0.000    0.007    0.000 /home/runner/work/fight-caves-RL/fight-caves-RL/_workspace/RL/fight_caves_rl/rewards/reward_sparse_v0.py:40(_wave_delta)
